openalex_id,display_name,wikidata_id
I106165777,University of Central Florida,https://www.wikidata.org/wiki/Q143451
I196272386,Providence College,https://www.wikidata.org/wiki/Q1439629
I39694355,Hunter College,https://www.wikidata.org/wiki/Q1446181
I2800403580,University of Minnesota System,https://www.wikidata.org/wiki/Q14552696
I7863295,Villanova University,https://www.wikidata.org/wiki/Q1466001
I921990950,University of Colorado Denver,https://www.wikidata.org/wiki/Q1468161
I116545467,University of Mary,https://www.wikidata.org/wiki/Q14708393
I53276908,Marymount University,https://www.wikidata.org/wiki/Q14712798
I8606887,Grand Valley State University,https://www.wikidata.org/wiki/Q1472315
I110378019,Southern Illinois University Carbondale,https://www.wikidata.org/wiki/Q1472347
I44461941,University of Houston,https://www.wikidata.org/wiki/Q1472358
I32389192,University of Alabama at Birmingham,https://www.wikidata.org/wiki/Q1472663
I149910238,Kent State University,https://www.wikidata.org/wiki/Q1473615
I11874761,University of North Florida,https://www.wikidata.org/wiki/Q1473796
I117942362,Western Illinois University,https://www.wikidata.org/wiki/Q1474005
I81365321,Old Dominion University,https://www.wikidata.org/wiki/Q1474100
I94339441,Western Kentucky University,https://www.wikidata.org/wiki/Q1474105
I4322298,Towson University,https://www.wikidata.org/wiki/Q1474129
I192396691,University of New Orleans,https://www.wikidata.org/wiki/Q1474157
I35777872,North Carolina Agricultural and Technical State University,https://www.wikidata.org/wiki/Q1476484
I13511017,Texas State University,https://www.wikidata.org/wiki/Q1495387
I5388228,University of Rochester,https://www.wikidata.org/wiki/Q149990
I181565077,Georgia State University,https://www.wikidata.org/wiki/Q1509333
I24603500,University of Massachusetts Amherst,https://www.wikidata.org/wiki/Q15142
I133738476,University of Massachusetts Lowell,https://www.wikidata.org/wiki/Q15143
I33434090,University of Massachusetts Boston,https://www.wikidata.org/wiki/Q15144
I35364215,Naval Postgraduate School,https://www.wikidata.org/wiki/Q1515048
I121820613,Louisiana State University,https://www.wikidata.org/wiki/Q1521725
I172980758,Kennesaw State University,https://www.wikidata.org/wiki/Q1532470
I63135867,University of Cincinnati,https://www.wikidata.org/wiki/Q153265
I178169726,Southern Methodist University,https://www.wikidata.org/wiki/Q1536258
I1925986,Loyola University Chicago,https://www.wikidata.org/wiki/Q1537759
I141649380,Western Michigan University,https://www.wikidata.org/wiki/Q1546191
I177328695,Union College,https://www.wikidata.org/wiki/Q1567748
I184759092,Lafayette College,https://www.wikidata.org/wiki/Q1592074
I122411786,California Institute of Technology,https://www.wikidata.org/wiki/Q161562
I139290212,Hofstra University,https://www.wikidata.org/wiki/Q1623314
I17626003,University of Rhode Island,https://www.wikidata.org/wiki/Q1641788
I106969075,Idaho State University,https://www.wikidata.org/wiki/Q1656608
I200885203,Indiana University of Pennsylvania,https://www.wikidata.org/wiki/Q1661325
I98540497,Barnard College,https://www.wikidata.org/wiki/Q167733
I181401687,American University,https://www.wikidata.org/wiki/Q168000
I223532165,University of Utah,https://www.wikidata.org/wiki/Q168515
I170897317,Duke University,https://www.wikidata.org/wiki/Q168751
I95457486,University of California Berkeley,https://www.wikidata.org/wiki/Q168756
I2801572250,Jacksonville College,https://www.wikidata.org/wiki/Q16973332
I92507152,John Jay College of Criminal Justice,https://www.wikidata.org/wiki/Q1700617
I2802326326,The University of Texas Rio Grande Valley,https://www.wikidata.org/wiki/Q17028121
I156087764,University of California Merced,https://www.wikidata.org/wiki/Q1728622
I161318765,University of California Los Angeles,https://www.wikidata.org/wiki/Q174710
I61937129,Jackson State University,https://www.wikidata.org/wiki/Q1747601
I43579087,University of Wisconsin–Milwaukee,https://www.wikidata.org/wiki/Q1755318
I111455621,Queens College CUNY,https://www.wikidata.org/wiki/Q1760438
I126345244,Portland State University,https://www.wikidata.org/wiki/Q1771717
I392282,University at Albany State University of New York,https://www.wikidata.org/wiki/Q1780816
I173268674,Texas A&M University System,https://www.wikidata.org/wiki/Q1781044
I119234918,University of Northern Iowa,https://www.wikidata.org/wiki/Q1781094
I177097968,University of Tennessee at Chattanooga,https://www.wikidata.org/wiki/Q1781384
I162577319,The University of Texas at Dallas,https://www.wikidata.org/wiki/Q1781394
I82495205,University of Alabama in Huntsville,https://www.wikidata.org/wiki/Q1783148
I102149020,University of North Carolina at Charlotte,https://www.wikidata.org/wiki/Q1783178
I161203489,Youngstown State University,https://www.wikidata.org/wiki/Q1783191
I138873065,Long Island University,https://www.wikidata.org/wiki/Q1783603
I71966907,University of Northern Colorado,https://www.wikidata.org/wiki/Q1783608
I169615421,Middle Tennessee State University,https://www.wikidata.org/wiki/Q1784748
I35566140,Loyola Marymount University,https://www.wikidata.org/wiki/Q1786078
I107639228,University of Notre Dame,https://www.wikidata.org/wiki/Q178848
I84470341,Catholic University of America,https://www.wikidata.org/wiki/Q179036
I203088144,Nova Southeastern University,https://www.wikidata.org/wiki/Q1798499
I150149174,Mercer University,https://www.wikidata.org/wiki/Q1798612
I44265643,Rowan University,https://www.wikidata.org/wiki/Q1799872
I185071736,Chapman University,https://www.wikidata.org/wiki/Q1805085
I90965887,SUNY Polytechnic Institute,https://www.wikidata.org/wiki/Q18155496
I126307644,University of Iowa,https://www.wikidata.org/wiki/Q182973
I45438204,The University of Texas at San Antonio,https://www.wikidata.org/wiki/Q183170
I2803209242,University of California System,https://www.wikidata.org/wiki/Q184478
I87208437,University of Tulsa,https://www.wikidata.org/wiki/Q1848657
I155093810,University of Idaho,https://www.wikidata.org/wiki/Q1854488
I23732399,Montana State University,https://www.wikidata.org/wiki/Q1861687
I919208787,Louisiana Tech University,https://www.wikidata.org/wiki/Q1872239
I102461120,Marquette University,https://www.wikidata.org/wiki/Q188370
I76766440,University of San Francisco,https://www.wikidata.org/wiki/Q1887879
